class,ngram,coef
negative,no,9.507254045439941
negative,not,7.211916519897458
negative,difficult,6.586508558661277
negative,boring,5.671164704633243
negative,broken,5.479270603426465
negative,confusing,4.825214531156472
negative,wrong,4.802750930332927
negative,low,4.711650130609862
negative,missing,4.582112368867519
negative,bad,4.541524927276688
negative,hard,4.290323622747127
negative,error,4.278689310744497
negative,poor,4.225728730080972
negative,worst,4.142471886508612
negative,terrible,4.090003672193851
neutral,simple,1.7588061194635471
neutral,excelente,1.7144264096102209
neutral,bir,1.7108125041196973
neutral,hi,1.6945683061129422
neutral,informative,1.6822462334997226
neutral,na,1.5771955810642793
neutral,fast,1.5359757235441034
neutral,interesante,1.5297991314625998
neutral,long,1.4419701807309633
neutral,detailed,1.4151811913466663
neutral,muy,1.3860287619523914
neutral,de,1.352712585469186
neutral,excelent,1.339478341580903
neutral,information provided,1.3340861537969673
neutral,gud,1.2900793823502072
positive,good,9.677448639392585
positive,great,9.07109453725711
positive,excellent,5.688873183592761
positive,amazing,5.671492135589339
positive,well,5.419625208681287
positive,clear,5.243197755187794
positive,nice,4.812311212822165
positive,easy,4.78359182143285
positive,best,4.6375738854933966
positive,yes,4.403269983326665
positive,like,4.2628986627094685
positive,interesting,4.22809973129228
positive,thank,4.214669876478776
positive,awesome,4.15495598521752
positive,love,3.7663347513989884
