feature,importance
great,0.013218344
no,0.009143523
questions not,0.008459076
good,0.008288039
amazing,0.0077013765
nice,0.007289561
excellent,0.0069930763
applications,0.006849125
dive deeper,0.006313856
ai applications,0.0059929127
well,0.0058931424
execute,0.0058423392
clear,0.0056217555
cause,0.0054916893
connect,0.0050924537
deeper,0.0049366923
best,0.0048918156
yes,0.0047078
interesting,0.004704999
thank,0.004683009
document,0.0046448084
product management,0.0045737987
look,0.004454662
money,0.004304115
he teaches,0.0042875544
world,0.0042057717
ser,0.004135312
difficult,0.004037065
coding,0.0040307967
regarding,0.004019928
awesome,0.003994364
very basic,0.0037896729
command prompt,0.0037747982
bad,0.003736921
high level,0.003688525
not up,0.0036429907
moving,0.0036154129
there some,0.0036056628
app,0.0035366341
boring,0.0035347992
concepts very,0.003446047
waste,0.0034244477
thanks,0.0033402892
but think,0.003334125
but has,0.0033314517
very concise,0.0033005395
too,0.0032825626
good but,0.0032568735
confusing,0.0032244432
easy,0.0032153432
management,0.003086516
lot time,0.0030488165
die,0.0030115775
apis,0.0029943206
projects,0.0029819675
engaging,0.002831138
not,0.0027879828
ed,0.0027877814
helpful,0.0027765643
matter,0.0027579519
these,0.0027355454
already know,0.0027179648
even,0.0027002785
perfect,0.0026981286
courses have,0.002686544
like,0.0026829874
getting into,0.0026811273
practice,0.0026563385
infectious,0.0026313835
highly,0.0026183822
professionals,0.0025681977
about new,0.0025454825
asking,0.0025412925
hard,0.0025210632
annoying,0.0025140718
fluff,0.0024941275
informative but,0.0024659655
wrong,0.002455581
being taught,0.0024465793
useful,0.0024177337
est,0.0023877865
broken,0.0023745364
distracting,0.0023674066
sections,0.002363825
over,0.002359494
but one,0.0023513956
instead,0.0023231406
intermediate,0.0022973216
outdated,0.0022940293
love,0.0022647267
while,0.0022601339
learnings,0.002243082
parts,0.0022342955
aren't,0.002231747
across,0.0021996512
low,0.002193544
not only,0.0021851175
write,0.0021837677
fantastic,0.0021669294
more,0.002165404
have found,0.0021594015
coder,0.0021499514
graphs,0.0021459223
quite good,0.0021422568
but only,0.002109357
enough,0.002101947
dont,0.0020907847
comprehensive,0.0020499667
aws,0.0020106675
answer,0.0020053978
visual,0.0020011629
never,0.0019992122
time,0.0019888978
designed,0.0019797753
old,0.0019787385
giving,0.0019706588
automate,0.0019509802
good explanations,0.0019168018
after,0.0019075413
type,0.0019029445
good material,0.0018998452
teaching,0.0018975596
wat,0.001894209
speed,0.0018904419
notes,0.0018864847
really,0.001878076
side,0.0018774155
github,0.0018695869
sub,0.0018652264
new,0.001861459
have more,0.0018511896
think,0.00184646
passed exam,0.001842726
super,0.0018417932
too much,0.0018384213
ai,0.0018153546
only,0.0018088286
using,0.0018071331
provide,0.0018055993
i'm learning,0.0018030643
about,0.0017957168
looking forward,0.0017907314
error,0.0017898974
learn more,0.0017889258
ok,0.0017763823
not good,0.0017757571
problem,0.0017616544
information but,0.0017464726
seriously,0.0017382894
date,0.001737517
disappointing,0.0017284252
times,0.00172223
right now,0.0017152873
rating,0.0017043272
accent,0.0017008139
up,0.0016822825
rather,0.0016794138
instructors,0.0016758944
poor,0.0016714281
quite,0.0016676204
unfortunately,0.0016641702
exercises,0.0016624056
check,0.001650641
his,0.0016428585
mais,0.0016389033
better,0.0016339944
there,0.0016311095
und,0.0016251185
build,0.0016164464
paid,0.0016123329
some,0.0016113635
doesnt,0.0016055494
little,0.0015977162
but learning,0.001591374
detailed,0.0015863265
lack,0.001585833
topics,0.0015819133
know what,0.0015805621
theoretical,0.0015530017
talking,0.001550971
could,0.0015504104
worst,0.0015485286
very fast,0.0015401542
nothing,0.0015360228
personal,0.0015295626
las,0.0015282981
excited,0.0015169027
missing,0.001515945
most,0.0015150897
steps,0.0014908382
hard work,0.0014899872
could do,0.0014835637
having,0.0014810837
had some,0.0014775264
information provided,0.0014669419
informative,0.0014605186
fast,0.001448293
knowledge,0.0014478244
anaconda,0.0014448896
het,0.0014445685
