term,mean_tfidf,doc_freq
good,0.0978354,3397
great,0.043390002,2171
excellent,0.020870605,855
amazing,0.020032093,826
nice,0.018905196,516
far,0.017425403,980
ai,0.016066091,1675
yes,0.015071541,466
awesome,0.012658109,375
well,0.012505623,917
really,0.012280816,939
easy,0.0115350345,817
clear,0.011408334,774
informative,0.011270681,418
not,0.010868864,910
best,0.010240495,593
like,0.009825241,770
understand,0.00964411,704
explanation,0.0093614105,484
lot,0.009151952,675
interesting,0.008527905,387
thank,0.008452142,509
much,0.008125685,568
information,0.007694555,496
ed,0.007516058,641
love,0.00748572,376
way,0.007440889,610
explained,0.007257924,424
experience,0.007084501,444
thanks,0.007014853,376
